rating,user,date,comment,likes,label UMUX,label,mudah digunakan (P1),memenuhi kebutuhan (P3),label_umux,clean_text,predicted_umux_label,predicted_umux_dimension,vader_neg,vader_neu,vader_pos,vader_compound,sentiment_category,umux_lite_score_1_7,umux_score_category,is_umux_relevant
4.0,Sri Nurhayati,2026-04-07 03:12:21,bagus,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,bagus,0,Tidak relevan dengan UMUX-Lite,0.0,1.0,0.0,0.0,neutral,4.0,moderate,False
5.0,Dwi Galih28,2026-04-07 03:12:08,mantap,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,mantap,0,Tidak relevan dengan UMUX-Lite,0.511,0.415,0.074,-0.9584,negative,1.12,low,False
5.0,Said Maulana,2026-04-07 03:11:29,ntap,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,ntap,0,Tidak relevan dengan UMUX-Lite,0.0,0.448,0.552,0.5719,positive,5.72,high,False
1.0,Azriii,2026-04-07 03:08:51,"ini sebenernya bisa dicairkan gak sih? masa tiap upload npwp gagal terus dan server selalu error. ini bukan yang pertama kali lho. sering banget server error begini.heran, kalah sama aplikasi michat",0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,sebenernya bisa cair tidak sih masa tiap upload npwp gagal terus server selalu error bukan pertama kali lho sering banget server error begini heran kalah sama aplikasi michat,2,Ease of Use,0.325,0.263,0.412,-0.25,negative,3.25,moderate,True
5.0,Cerita beach 1978,2026-04-07 03:06:32,sangat puas dan menjamin karyawan,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat puas jamin karyawan,1,Usefulness,0.0,0.159,0.841,0.6486,positive,5.95,high,True
5.0,Afrizaldixxx@gmail.com Aldi,2026-04-07 03:05:13,kok susah kali melihat saldo jht ya pak,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,kok susah kali lihat saldo jht pak,2,Ease of Use,0.0,0.227,0.773,0.5267,positive,5.58,high,True
5.0,Dick callem,2026-04-07 03:02:03,proses cepat trmks,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,proses cepat trmks,1,Usefulness,0.0,0.0,1.0,0.4588,positive,5.38,high,True
5.0,Muhamad Ilham,2026-04-07 02:58:49,bagus pelayanannya,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,bagus layan,1,Usefulness,0.0,0.0,1.0,0.5267,positive,5.58,high,True
5.0,Muhammad Hud,2026-04-07 02:56:08,baik,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,baik,0,Tidak relevan dengan UMUX-Lite,0.0,0.097,0.903,0.8519,positive,6.56,high,False
5.0,Angga Radovic,2026-04-07 02:53:56,bagus,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,bagus,0,Tidak relevan dengan UMUX-Lite,0.0,0.0,1.0,0.4404,positive,5.32,high,False
5.0,Septiana Trihanda,2026-04-07 02:50:10,pengajuan klaim mudah dan cepat,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,aju klaim mudah cepat,2,Ease of Use,0.0,0.217,0.783,0.5574,positive,5.67,high,True
5.0,Dedek Ramadhan,2026-04-07 02:49:18,good,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,good,0,Tidak relevan dengan UMUX-Lite,0.607,0.164,0.23,-0.5106,negative,2.47,low,False
5.0,Mhmmd Azwar,2026-04-07 02:48:55,Membantu aplikasi,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,bantu aplikasi,1,Usefulness,0.0,0.455,0.545,0.5574,positive,5.67,high,True
1.0,Masrur Masrur,2026-04-07 02:47:02,susah kebuka aplikasinya,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,susah buka aplikasi,0,Tidak relevan dengan UMUX-Lite,0.0,0.0,0.0,0.0,neutral,4.0,moderate,False
5.0,Agus Triyono,2026-04-07 02:40:53,Sangat Membantu Dan Menjaminkan Kesejahteraan,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat bantu jamin sejahtera,1,Usefulness,0.494,0.46,0.046,-0.9612,negative,1.12,low,True
2.0,Faeyza Zaza,2026-04-07 02:39:05,ok,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,,0,Tidak relevan dengan UMUX-Lite,0.0,0.217,0.783,0.5574,positive,5.67,high,False
1.0,Noob Gameplay,2026-04-07 02:37:28,"gila ni apk,mau klaim jmo susah nya ga karuan,gagal teru alesan koneksi atau server,pdhl sinyal make telkom buat nonton drama aja kenceng,cuma di apk ini gagal terus",0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,gila ni aplikasi mau klaim jmo susah nya tidak karuan gagal teru alesan koneksi server pdhl sinyal make telkom buat nonton drama aja kenceng cuma aplikasi gagal terus,0,Tidak relevan dengan UMUX-Lite,0.0,0.0,1.0,0.5267,positive,5.58,high,False
5.0,Akas Agung,2026-04-07 02:36:40,sangat membantu,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat bantu,1,Usefulness,0.0,0.0,0.0,0.0,neutral,4.0,moderate,True
5.0,Putri,2026-04-07 02:33:14,bagus,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,bagus,0,Tidak relevan dengan UMUX-Lite,0.0,0.217,0.783,0.5574,positive,5.67,high,False
5.0,Zet pagirik,2026-04-07 02:30:19,👌👌👌,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,,0,Tidak relevan dengan UMUX-Lite,0.244,0.444,0.311,-0.1027,negative,3.69,moderate,False
5.0,Iwan Firgiawan,2026-04-07 02:23:22,Sangat Membantu,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat bantu,1,Usefulness,0.555,0.378,0.067,-0.891,negative,1.33,low,True
2.0,Nur Diana,2026-04-07 02:19:54,gak bisa ke buka jmo nya padahal sudah download,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,tidak bisa buka jmo nya padahal download,2,Ease of Use,0.0,0.217,0.783,0.5574,positive,5.67,high,True
1.0,Sardin Dady,2026-04-07 02:14:59,"aplikasi error ini bukannya ngebantu malah nyusahin, kode verifikasi sudah di input tetap saja tidak mauu ini aplikasi bikin emosi saja",0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,aplikasi error bukan ngebantu malah nyusahin kode verifikasi input tetap tidak mauu aplikasi bikin emosi,0,Tidak relevan dengan UMUX-Lite,0.355,0.457,0.188,-0.3182,negative,3.05,moderate,False
5.0,Sukasdiono 02,2026-04-07 02:05:19,sangat membantu,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat bantu,1,Usefulness,0.0,0.0,1.0,0.5859,positive,5.76,high,True
3.0,Muhammad_ Labib,2026-04-07 02:02:09,kenapa jmo setelah di update tidak bisa log in ke akun?? email dan sandi sudah betul . ketika di tekan log in tidak ada respon,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,jmo update tidak bisa log in akun email sandi betul tekan log in tidak respon,2,Ease of Use,0.0,0.0,1.0,0.5267,positive,5.58,high,True
5.0,Rizky Subagja,2026-04-07 02:01:50,mantap,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,mantap,0,Tidak relevan dengan UMUX-Lite,0.0,0.462,0.538,0.5423,positive,5.63,high,False
5.0,Yuli Yulianto,2026-04-07 01:56:52,bagus,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,bagus,0,Tidak relevan dengan UMUX-Lite,0.0,0.25,0.75,0.4588,positive,5.38,high,False
5.0,Jatmiko,2026-04-07 01:53:12,pelayanan ramah dan cepat trimakasih,0.0,Relevan dengan P1 (mudah digunakan),1,1,0,2,layan ramah cepat trimakasih,3,Usefulness + Ease of Use,0.0,0.152,0.848,0.6808,positive,6.04,high,True
5.0,Imro Sholikhah,2026-04-07 01:30:18,sangat baik,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat baik,0,Tidak relevan dengan UMUX-Lite,0.165,0.446,0.388,0.8402,positive,6.52,high,False
5.0,Wahyudi Wahyudi,2026-04-07 01:20:01,mudah proses nya,0.0,Relevan dengan P1 (mudah digunakan),1,1,0,2,mudah proses nya,2,Ease of Use,0.0,0.0,1.0,0.5719,positive,5.72,high,True
1.0,Mail Suer,2026-04-07 01:15:22,"giliran pemotongan cepat . giliran untuk pengambilan saldonya lama nya bukan maen , padahal kan hak konsumen nya .. terhitung di tgl pengajuan tapi setelah 7 hari malah gak ke proses pencairannya.. tolong di perbaiki kembali sistem nya kok banyak bener kelalaian",0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,gilir potong cepat gilir ambil saldo lama nya bukan maen padahal kan hak konsumen nya hitung tgl aju hari malah tidak proses cair baik sistem nya kok banyak bener lalai,0,Tidak relevan dengan UMUX-Lite,0.394,0.474,0.131,-0.7351,negative,1.79,low,False
5.0,Sarwedi Mdn,2026-04-07 01:13:32,puas,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,puas,0,Tidak relevan dengan UMUX-Lite,0.0,0.0,1.0,0.5859,positive,5.76,high,False
1.0,Ari Kurniawan,2026-04-07 01:12:21,"gimana mau reting, sandi salahlah, akun tidak terdaftar lah tiap bulan bayar aplikasi klo urusan sama pemerintah apa begini, aneh",0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,gimana mau reting sandi salah akun tidak daftar lah tiap bulan bayar aplikasi klo urus sama perintah apa begini aneh,0,Tidak relevan dengan UMUX-Lite,0.0,0.23,0.77,0.7717,positive,6.32,high,False
5.0,tania mawon,2026-04-07 01:02:03,mantap,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,mantap,0,Tidak relevan dengan UMUX-Lite,0.0,0.0,0.0,0.0,neutral,4.0,moderate,False
5.0,Ronyanto Boimau,2026-04-07 00:59:08,sangat puas dengan aplikasi ini terimakasih 🙏🙏🙏,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat puas aplikasi terimakasih,1,Usefulness,0.0,0.263,0.737,0.4215,positive,5.26,high,True
5.0,Edi Ridwan,2026-04-07 00:57:59,😍,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,,0,Tidak relevan dengan UMUX-Lite,0.0,0.357,0.643,0.5574,positive,5.67,high,False
5.0,Dg Nx,2026-04-07 00:51:44,oke sih,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,oke sih,0,Tidak relevan dengan UMUX-Lite,0.0,1.0,0.0,0.0,neutral,4.0,moderate,False
5.0,Siska Irma nur,2026-04-07 00:51:11,aplikasi ini sangat membantu,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,aplikasi sangat bantu,1,Usefulness,0.0,0.0,0.0,0.0,neutral,4.0,moderate,True
4.0,Ahmad nofal,2026-04-07 00:47:17,memerlukan kesabaran dlm mengisi aplikasi,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,perlu sabar dlm isi aplikasi,1,Usefulness,0.0,0.0,0.0,0.0,neutral,4.0,moderate,True
5.0,EMILIANA BETTY SULISTYOWATI,2026-04-07 00:41:31,👍👍,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,,0,Tidak relevan dengan UMUX-Lite,0.0,0.0,1.0,0.5423,positive,5.63,high,False
5.0,Nani Alismawati,2026-04-07 00:35:22,ok,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,,0,Tidak relevan dengan UMUX-Lite,0.0,0.647,0.353,0.7184,positive,6.16,high,False
5.0,Liha Muflihah,2026-04-07 00:30:24,keren,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,keren,0,Tidak relevan dengan UMUX-Lite,0.0,0.0,1.0,0.5859,positive,5.76,high,False
5.0,Taufikur Rohman,2026-04-07 00:25:54,"pelayanan jmo sangaaaaat baik, apalagi klo ke kantor cabang petugasnya sangat gercep makasih jmo team...",0.0,Relevan dengan P1 (mudah digunakan),1,1,0,2,layan jmo sangaaaaat baik klo kantor cabang tugas sangat gercep makasih jmo team,2,Ease of Use,0.0,0.263,0.737,0.4215,positive,5.26,high,True
5.0,sulaiman azza,2026-04-07 00:21:09,mantap,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,mantap,0,Tidak relevan dengan UMUX-Lite,0.0,0.108,0.892,0.743,positive,6.23,high,False
4.0,Abdillah Abqori,2026-04-07 00:21:09,oke lah...,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,oke lah,0,Tidak relevan dengan UMUX-Lite,0.0,0.364,0.636,0.5423,positive,5.63,high,False
5.0,Rey Maulana,2026-04-07 00:12:24,sangat bermanfaat untuk cek kepesertaan dan cek saldo,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat manfaat cek cek saldo,1,Usefulness,0.0,0.345,0.655,0.8225,positive,6.47,high,True
5.0,Haritriutami,2026-04-06 23:54:11,keren lah pokoknyt,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,keren lah pokoknyt,0,Tidak relevan dengan UMUX-Lite,0.0,0.312,0.688,0.296,positive,4.89,moderate,False
5.0,bang_ saputraa,2026-04-06 23:46:21,mantap luar biasa sangat memudahkan sekali,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,mantap luar biasa sangat mudah sekali,1,Usefulness,0.0,0.217,0.783,0.5574,positive,5.67,high,True
5.0,Black Tiga,2026-04-06 23:44:20,Terima kasih,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,terima kasih,0,Tidak relevan dengan UMUX-Lite,0.0,0.0,1.0,0.7845,positive,6.35,high,False
5.0,Sandi A F,2026-04-06 23:42:04,sangat membantu,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat bantu,1,Usefulness,0.0,1.0,0.0,0.0,neutral,4.0,moderate,True
5.0,Indah,2026-04-06 23:18:39,bagus cepat,0.0,Relevan dengan P1 dan P3,3,1,1,3,bagus cepat,3,Usefulness + Ease of Use,0.0,0.0,1.0,0.4588,positive,5.38,high,True
5.0,Edy Hendarman,2026-04-06 23:18:07,selalu tepat pwlayananannya,0.0,Relevan dengan P1 (mudah digunakan),1,1,0,2,selalu tepat pwlayananannya,2,Ease of Use,0.0,0.217,0.783,0.5574,positive,5.67,high,True
5.0,Jheren Manek,2026-04-06 22:43:47,baik,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,baik,0,Tidak relevan dengan UMUX-Lite,0.0,0.208,0.792,0.5859,positive,5.76,high,False
5.0,Suyanto 5859,2026-04-06 22:37:24,sangat membantu,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat bantu,1,Usefulness,0.0,0.0,0.0,0.0,neutral,4.0,moderate,True
5.0,impian 92,2026-04-06 19:38:32,mantap alhamdulilah,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,mantap alhamdulilah,0,Tidak relevan dengan UMUX-Lite,0.316,0.395,0.289,-0.0516,negative,3.85,moderate,False
4.0,hendra Saputra,2026-04-06 19:18:53,ok,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,,0,Tidak relevan dengan UMUX-Lite,0.0,0.256,0.744,0.4404,positive,5.32,high,False
5.0,Misteri Ranjang Bergoyang,2026-04-06 18:45:52,"kurang memuaskan, beberapa fitur di batasi",0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,kurang muas beberapa fitur batas,0,Tidak relevan dengan UMUX-Lite,0.0,0.0,1.0,0.5267,positive,5.58,high,False
5.0,Aziz Ganteng,2026-04-06 18:28:39,good job,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,good job,0,Tidak relevan dengan UMUX-Lite,0.0,0.217,0.783,0.5574,positive,5.67,high,False
5.0,gman volt,2026-04-06 18:26:16,bagus,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,bagus,0,Tidak relevan dengan UMUX-Lite,0.0,1.0,0.0,0.0,neutral,4.0,moderate,False
4.0,AgustianR 23,2026-04-06 18:14:42,sangat membantu,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat bantu,1,Usefulness,0.292,0.672,0.036,-0.7845,negative,1.65,low,True
5.0,Cencer Girl,2026-04-06 18:04:59,josss bangettt,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,josss bangettt,0,Tidak relevan dengan UMUX-Lite,0.0,0.0,1.0,0.5859,positive,5.76,high,False
1.0,Yoyok Setya,2026-04-06 17:44:36,ini gimana sih aplikasi udh masukin email dll mlh gk bs login.udh lupa akun eh kode otp nya kgk ada di email huuu..tetep aja sm gk bs heran....sdh bnr semua tp nol hsl nya,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,gimana sih aplikasi udh masukin email mlh tidak bs login udh lupa akun eh kode otp nya kgk email huuu tetep aja sm tidak bs heran sdh bnr semua tp nol hsl nya,2,Ease of Use,0.0,1.0,0.0,0.0,neutral,4.0,moderate,True
5.0,shreebix shreebix,2026-04-06 17:24:33,mantap,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,mantap,0,Tidak relevan dengan UMUX-Lite,0.0,0.227,0.773,0.5267,positive,5.58,high,False
5.0,Agus Agus,2026-04-06 17:10:37,mantep,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,mantep,0,Tidak relevan dengan UMUX-Lite,0.0,0.25,0.75,0.4588,positive,5.38,high,False
5.0,Yuli Ana,2026-04-06 16:49:13,sangat bagus,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat bagus,0,Tidak relevan dengan UMUX-Lite,0.0,0.0,0.0,0.0,neutral,4.0,moderate,False
5.0,Sayyid muhammad Baraqbah,2026-04-06 16:42:59,sangat baik,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,sangat baik,0,Tidak relevan dengan UMUX-Lite,0.0,0.217,0.783,0.5574,positive,5.67,high,False
5.0,M Fihkri Haikal,2026-04-06 16:00:10,ok,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,,0,Tidak relevan dengan UMUX-Lite,0.355,0.645,0.0,-0.296,negative,3.11,moderate,False
5.0,dicky sany,2026-04-06 15:42:11,sangat membantu,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat bantu,1,Usefulness,0.451,0.458,0.092,-0.6705,negative,1.99,low,True
5.0,Ave Maria,2026-04-06 15:36:50,Luar biasa JMO tingkatkan terus,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,luar biasa jmo tingkat terus,0,Tidak relevan dengan UMUX-Lite,0.304,0.543,0.152,-0.5859,negative,2.24,low,False
5.0,muhammad reza,2026-04-06 15:34:51,AKUN JMO GK BISA DI LOGIN KE HP LAIN KAH..? KARENA HP YG LAMA SAYA SUDAH RETAK LCDNYA,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,akun jmo tidak bisa login hp hp yg lama retak lcdnya,0,Tidak relevan dengan UMUX-Lite,0.0,0.533,0.467,0.5423,positive,5.63,high,False
1.0,simun tok,2026-04-06 15:08:15,"kenapa aplikasi jmo di hp ku nggak bisa dibuka,setiap dibuka ilang lag mental,gimana solusinya",0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,aplikasi jmo hp ku tidak bisa buka tiap buka ilang lag mental gimana solusi,0,Tidak relevan dengan UMUX-Lite,0.0,1.0,0.0,0.0,neutral,4.0,moderate,False
4.0,Ana Hasanah,2026-04-06 14:33:27,semoga manfaat buat semua y,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,moga manfaat buat semua y,0,Tidak relevan dengan UMUX-Lite,0.0,0.0,1.0,0.7096,positive,6.13,high,False
5.0,Zainal Abidin,2026-04-06 13:58:33,mantabs,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,mantabs,0,Tidak relevan dengan UMUX-Lite,0.362,0.296,0.342,-0.1531,negative,3.54,moderate,False
5.0,Anank Zhee Fou Zhee Fou (Anank),2026-04-06 13:57:17,good luck,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,good luck,0,Tidak relevan dengan UMUX-Lite,0.423,0.577,0.0,-0.296,negative,3.11,moderate,False
4.0,Ida Sap,2026-04-06 13:38:57,"Kacau. Mau liat saldo katanya pastikan terhubung ke internet . Padahal internet ada, lancar, buka apk yang lainpun lancar . Apk ini ajah yg bermasalah .",1.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,kacau mau liat saldo kata hubung internet padahal internet lancar buka aplikasi lancar aplikasi ajah yg masalah,0,Tidak relevan dengan UMUX-Lite,0.393,0.357,0.25,-0.2023,negative,3.39,moderate,False
4.0,Rianti,2026-04-06 13:37:18,semoga selalu maju terus,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,moga selalu maju terus,0,Tidak relevan dengan UMUX-Lite,0.0,0.0,0.0,0.0,neutral,4.0,moderate,False
4.0,neta queeneta,2026-04-06 13:23:59,kadang gk bisa dibuka ....,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,kadang tidak bisa buka,2,Ease of Use,0.0,0.105,0.895,0.7579,positive,6.27,high,True
5.0,Inasari Sari,2026-04-06 12:58:28,👍,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,,0,Tidak relevan dengan UMUX-Lite,0.0,0.0,1.0,0.5859,positive,5.76,high,False
4.0,Atem Ilham,2026-04-06 12:56:37,aplikasi ini memudahkan saya untuk melihat saldo JHT,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,aplikasi mudah lihat saldo jht,2,Ease of Use,0.0,0.19,0.81,0.8176,positive,6.45,high,True
5.0,Gun Awan,2026-04-06 12:53:54,mantap,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,mantap,0,Tidak relevan dengan UMUX-Lite,0.585,0.283,0.132,-0.7003,negative,1.9,low,False
5.0,Mega Aristiani,2026-04-06 12:41:27,baguslah untuk mengetahui perkembangan saldo dan juga manfaat lainnya,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,bagus tahu kembang saldo manfaat,1,Usefulness,0.0,0.0,0.0,0.0,neutral,4.0,moderate,True
3.0,Madroni Madroni,2026-04-06 12:38:51,ga bisa di buka APKnya makin ribet.,1.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,tidak bisa buka apknya makin ribet,0,Tidak relevan dengan UMUX-Lite,0.164,0.373,0.463,0.4588,positive,5.38,high,False
5.0,Yus Rin,2026-04-06 12:36:33,ok,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,,0,Tidak relevan dengan UMUX-Lite,0.0,0.227,0.773,0.5267,positive,5.58,high,False
1.0,Fajar Wisantra,2026-04-06 12:25:41,apk gak jelas buat apa cek saldo doang bisanya,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,aplikasi tidak jelas buat apa cek saldo doang bisa,0,Tidak relevan dengan UMUX-Lite,0.0,1.0,0.0,0.0,neutral,4.0,moderate,False
4.0,Ilham Maulana,2026-04-06 12:21:43,lumayan bagus,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,lumayan bagus,0,Tidak relevan dengan UMUX-Lite,0.0,0.0,1.0,0.4588,positive,5.38,high,False
5.0,dicky ahadiat,2026-04-06 11:58:41,mnatapppp....,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,mnatapppp,0,Tidak relevan dengan UMUX-Lite,0.0,0.357,0.643,0.5574,positive,5.67,high,False
5.0,Kaka Ajo,2026-04-06 11:44:56,baik,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,baik,0,Tidak relevan dengan UMUX-Lite,0.0,0.25,0.75,0.4588,positive,5.38,high,False
5.0,Rudi Sellow,2026-04-06 11:35:30,sangat memuaskan dan membantu,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat muas bantu,1,Usefulness,0.0,1.0,0.0,0.0,neutral,4.0,moderate,True
5.0,ria 13,2026-04-06 11:32:29,sangat baik,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat baik,0,Tidak relevan dengan UMUX-Lite,0.0,1.0,0.0,0.0,neutral,4.0,moderate,False
5.0,Tegar zulfikri,2026-04-06 11:27:58,kerennn,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,kerennn,0,Tidak relevan dengan UMUX-Lite,0.351,0.322,0.327,-0.5859,negative,2.24,low,False
5.0,Muhamad Rizki,2026-04-06 11:23:00,luar biasa,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,luar biasa,0,Tidak relevan dengan UMUX-Lite,0.0,0.25,0.75,0.4588,positive,5.38,high,False
2.0,Setyo Nugroho,2026-04-06 11:22:09,ini saya kenapa tidak bisa login? tombol login tidak berfungsi di tekan berkali² gaa respon kaya nge bug gtu.. tolong perbaiki saya mau cek saldo aja ribet amat,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,tidak bisa login tombol login tidak fungsi tekan kali gaa respon kaya nge bug gtu baik mau cek saldo aja ribet,2,Ease of Use,0.0,0.0,1.0,0.5859,positive,5.76,high,True
5.0,bewe wijaya,2026-04-06 11:10:08,lumayan baik,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,lumayan baik,0,Tidak relevan dengan UMUX-Lite,0.0,0.227,0.773,0.5267,positive,5.58,high,False
5.0,Sampe Longgo,2026-04-06 11:08:14,mantap,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,mantap,0,Tidak relevan dengan UMUX-Lite,0.36,0.349,0.291,-0.4939,negative,2.52,low,False
5.0,Ayu Netria,2026-04-06 11:03:44,sangat bagus,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat bagus,0,Tidak relevan dengan UMUX-Lite,0.0,1.0,0.0,0.0,neutral,4.0,moderate,False
5.0,Dwi Septiani,2026-04-06 11:01:43,"ga usah ribet"" ke kantor buat mengklaim saldo ketenagakerjaan,cukup di apk aja",0.0,Relevan dengan P1 (mudah digunakan),1,1,0,2,tidak usah ribet kantor buat klaim saldo ketenagakerjaan cukup aplikasi aja,2,Ease of Use,0.0,0.217,0.783,0.5574,positive,5.67,high,True
5.0,Siti Ari Muftikhah,2026-04-06 10:52:48,baru pertama mau coba makai,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,baru pertama mau coba,0,Tidak relevan dengan UMUX-Lite,0.0,0.0,1.0,0.2263,positive,4.68,moderate,False
5.0,Sumarno Bpn,2026-04-06 10:51:31,sangat membantu kami,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat bantu,1,Usefulness,0.0,0.294,0.706,0.802,positive,6.41,high,True
5.0,Fiki Arya,2026-04-06 10:48:01,okay,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,okay,0,Tidak relevan dengan UMUX-Lite,0.0,0.0,1.0,0.4215,positive,5.26,high,False
5.0,nino Pattihahuan,2026-04-06 10:44:06,"sangat membantu aplikasi ini,, sukses trus ya",0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat bantu aplikasi sukses trus,1,Usefulness,0.0,0.0,1.0,0.5423,positive,5.63,high,True
4.0,Madon Mr.w,2026-04-06 10:39:53,oke,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,oke,0,Tidak relevan dengan UMUX-Lite,0.0,0.0,0.0,0.0,neutral,4.0,moderate,False
1.0,Dedi M,2026-04-06 09:58:32,cepat,0.0,Relevan dengan P1 (mudah digunakan),1,1,0,2,cepat,0,Tidak relevan dengan UMUX-Lite,0.0,1.0,0.0,0.0,neutral,4.0,moderate,False
4.0,Ita Dewi puspitasari,2026-04-06 09:57:43,👍💯,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,,0,Tidak relevan dengan UMUX-Lite,0.0,0.208,0.792,0.886,positive,6.66,high,False
